Tytuł;Cena
Python. Wprowadzenie. Wydanie VI;119.40 zł
Struktury danych. Ilustrowany przewodnik;47.40 zł
Python. Instrukcje dla programisty. Wydanie III;71.40 zł
Architektura systemów AI. Projektowanie skalowalnego i niezawodnego oprogramowania;41.40 zł
Opus magnum C++. Programowanie w języku C++. Wydanie III poprawione (komplet);149.40 zł
Wzorce projektowe w inżynierii danych. Sprawdzone rozwiązania i dobre praktyki;53.40 zł
Podstawy architektury oprogramowania dla inżynierów. Wydanie II;77.40 zł
Analiza bayesowska w Pythonie.  Praktyczny przewodnik po modelowaniu probabilistycznym. Wydanie III;53.40 zł
Node.js. Wzorce projektowe i techniki tworzenia aplikacji produkcyjnych. Wydanie IV;77.40 zł
Java. Podstawy. Wydanie XIII;89.40 zł
Algorytmy sztucznej inteligencji. Ilustrowany przewodnik;53.40 zł
Python w analizie danych. Przetwarzanie danych za pomocą pakietów pandas i NumPy oraz środowiska Jupyter. Wydanie III;71.40 zł
Designing Data-Intensive Applications. The Big Ideas Behind Reliable, Scalable, and Maintainable Systems. 2nd Edition;203.15 zł
Zainspirowani. Jak tworzyć kultowe produkty technologiczne;41.40 zł
Refaktoryzacja domenowa. Przewodnik DDD po przekształcaniu architektury monolitycznej w systemy modularne i mikrousługi;53.40 zł
AI w praktyce. Kurs video. Narzędzia sztucznej inteligencji w programowaniu;126.75 zł
Pragmatyczny programista. Od czeladnika do mistrza. Wydanie II;53.40 zł
Budowanie mikrousług. Projektowanie drobnoziarnistych systemów. Wydanie II;65.40 zł
Automatyzacja nudnych zadań z Pythonem. Nauka programowania. Wydanie II;71.40 zł
Testowanie oprogramowania z wykorzystaniem generatywnej AI;53.40 zł
Systemy wbudowane. Wzorce projektowe dla twórców oprogramowania. Wydanie II;53.40 zł
Czysty kod. Podręcznik dobrego programisty;47.40 zł
Czysta architektura. Struktura i design oprogramowania. Przewodnik dla profesjonalistów;53.40 zł
Koncepcja Domain-Driven Design. Dostosowywanie architektury aplikacji do strategii biznesowej;47.40 zł
Analiza bayesowska w Pythonie.  Praktyczny przewodnik po modelowaniu probabilistycznym. Wydanie III;53.40 zł
Architektura systemów AI. Projektowanie skalowalnego i niezawodnego oprogramowania;41.40 zł
Node.js. Wzorce projektowe i techniki tworzenia aplikacji produkcyjnych. Wydanie IV;77.40 zł
Struktury danych. Ilustrowany przewodnik;47.40 zł
Czysty kod. Receptury. Przepisy na poprawienie struktury i jakości Twojego kodu;53.40 zł
C++ w systemach wbudowanych. Skuteczna migracja z C do nowoczesnego C++;53.40 zł
Refaktoryzacja domenowa. Przewodnik DDD po przekształcaniu architektury monolitycznej w systemy modularne i mikrousługi;53.40 zł
Efektywne zarządzanie pamięcią w C++. Praktyczne strategie i techniki tworzenia lekkiego, bezpiecznego i niezawodnego oprogramowania;53.40 zł
Wydajne systemy wbudowane w języku C. Niskopoziomowe programowanie mikrokontrolerów ARM;59.40 zł
Wzorce projektowe w inżynierii danych. Sprawdzone rozwiązania i dobre praktyki;53.40 zł
WCAG. Dostępność cyfrowa stron internetowych i aplikacji;53.40 zł
TRANSFORMACJA AGILE. Struktury, procesy i sposoby myślenia w erze cyfrowej;59.40 zł
Programowanie. Teoria i praktyka w C++. Wydanie IV;89.40 zł
Ekstrakcja danych w Pythonie. Teoria i praktyka;59.40 zł
Projektowanie systemów rozproszonych. Wzorce i paradygmaty dla skalowalnych, niezawodnych usług z wykorzystaniem Kubernetesa. Wydanie II;47.40 zł
Wysoko wydajny Python. Efektywne programowanie w praktyce. Wydanie III;77.40 zł
Programuj ze sztuczną inteligencją. Twórz kod w Pythonie z wykorzystaniem GitHub Copilot i ChatGPT. Wydanie II;53.40 zł
Podstawy architektury oprogramowania dla inżynierów. Wydanie II;77.40 zł
Python. Wprowadzenie. Wydanie VI;119.40 zł
Java. Techniki zaawansowane. Wydanie XIII;101.40 zł
Testowanie oprogramowania z wykorzystaniem generatywnej AI;53.40 zł
Interfejsy API w AI i Data Science. Programowanie w Pythonie z użyciem FastAPI;47.40 zł
Ekscytujący internet rzeczy. Realizuj praktyczne projekty IoT z wykorzystaniem Raspberry Pi 5, Raspberry Pi Pico oraz Pythona. Wydanie II;83.40 zł
Java. Podstawy. Wydanie XIII;89.40 zł
Opus magnum C++. Wyprawa w głąb C++20. Tom 5;53.40 zł
Domain-Driven Design w transformacji systemów. Skuteczna modernizacja legacy bez zbędnego ryzyka;41.40 zł
Analiza bayesowska w Pythonie.  Praktyczny przewodnik po modelowaniu probabilistycznym. Wydanie III;77.40 zł
Architektura systemów AI. Projektowanie skalowalnego i niezawodnego oprogramowania;47.40 zł
Node.js. Wzorce projektowe i techniki tworzenia aplikacji produkcyjnych. Wydanie IV;53.40 zł
Struktury danych. Ilustrowany przewodnik;53.40 zł
Czysty kod. Receptury. Przepisy na poprawienie struktury i jakości Twojego kodu;53.40 zł
C++ w systemach wbudowanych. Skuteczna migracja z C do nowoczesnego C++;53.40 zł
Refaktoryzacja domenowa. Przewodnik DDD po przekształcaniu architektury monolitycznej w systemy modularne i mikrousługi;59.40 zł
Efektywne zarządzanie pamięcią w C++. Praktyczne strategie i techniki tworzenia lekkiego, bezpiecznego i niezawodnego oprogramowania;53.40 zł
Wydajne systemy wbudowane w języku C. Niskopoziomowe programowanie mikrokontrolerów ARM;53.40 zł
Wzorce projektowe w inżynierii danych. Sprawdzone rozwiązania i dobre praktyki;59.40 zł
WCAG. Dostępność cyfrowa stron internetowych i aplikacji;89.40 zł
TRANSFORMACJA AGILE. Struktury, procesy i sposoby myślenia w erze cyfrowej;59.40 zł
Programowanie. Teoria i praktyka w C++. Wydanie IV;47.40 zł
Ekstrakcja danych w Pythonie. Teoria i praktyka;77.40 zł
Projektowanie systemów rozproszonych. Wzorce i paradygmaty dla skalowalnych, niezawodnych usług z wykorzystaniem Kubernetesa. Wydanie II;53.40 zł
Wysoko wydajny Python. Efektywne programowanie w praktyce. Wydanie III;77.40 zł
Programuj ze sztuczną inteligencją. Twórz kod w Pythonie z wykorzystaniem GitHub Copilot i ChatGPT. Wydanie II;119.40 zł
Podstawy architektury oprogramowania dla inżynierów. Wydanie II;101.40 zł
Python. Wprowadzenie. Wydanie VI;53.40 zł
Java. Techniki zaawansowane. Wydanie XIII;47.40 zł
Testowanie oprogramowania z wykorzystaniem generatywnej AI;83.40 zł
Interfejsy API w AI i Data Science. Programowanie w Pythonie z użyciem FastAPI;89.40 zł
Ekscytujący internet rzeczy. Realizuj praktyczne projekty IoT z wykorzystaniem Raspberry Pi 5, Raspberry Pi Pico oraz Pythona. Wydanie II;41.40 zł
Java. Podstawy. Wydanie XIII;71.40 zł
OpenAI API w aplikacjach C#;35.40 zł
Tworzenie architektury oprogramowania. Wspieranie zespołów w podejmowaniu trafnych decyzji;47.40 zł
Airflow. Monitorowanie przepływu danych;101.40 zł
Uczenie przez wzmacnianie w finansach. Wprowadzenie z wykorzystaniem Pythona;53.40 zł
C#. Rusz głową! Wydanie V;83.40 zł
My, programiści. Kronika koderów od Ady do AI;29.94 zł
Efektywny Python. 125 sposobów na lepszy kod. Wydanie III;53.40 zł
Postman w praktyce. Kompletny przewodnik po REST API;83.40 zł
WPF i Material Design. Od podstaw do tworzenia praktycznych aplikacji;47.40 zł
Zostań ekspertem .NET 8. Dobre praktyki, wzorce projektowe, debugowanie i testowanie aplikacji;47.40 zł
Tworzenie aplikacji z wykorzystaniem GPT-4 i ChatGPT. Buduj inteligentne chatboty, generatory treści i realizuj fascynujące projekty. Wydanie II;47.40 zł
Podejście TDD w Javie. Testowanie, SOLID i architektura heksagonalna jako fundamenty wysokiej jakości;53.40 zł
